       Stat Kenn   Abfluss     Sohle     h_WSP       hen      h_BV    Boe_li    Boe_re     v_m  tau_fl      Q_li      Q_fl      Q_re lamb_li lamb_fl lamb_re      f_li      f_fl      f_re     br_li     br_fl     br_re    WehrOK  BrueckOK  BrueckUK   BrueckB    RohrDN   AlphaIW   AlphaEW    I_Reib
         km    -     m^3/s       mNN       mNN       mNN       mNN       mNN       mNN     m/s   N/m^2     m^3/s     m^3/s     m^3/s       -       -       -       m^2       m^2         m         m         m         m       mNN       mNN       mNN         m         m         -         -         -
    41.7200    n     1.000   362.033   362.573   362.574   364.363   365.007   364.363   0.153    0.34     0.000     1.000     0.000  0.0000  0.1152  0.0000     0.000     6.542     0.000     0.000    18.979     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    41.7400    n     1.000   362.033   362.549   362.550   364.574   365.126   364.574   0.150    0.33     0.000     1.000     0.000  0.0000  0.1165  0.0000     0.000     6.645     0.000     0.000    19.658     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    41.7450    n     1.000   362.033   362.574   362.575   365.191   365.191   365.296   0.154    0.34     0.000     1.000     0.000  0.0000  0.1144  0.0000     0.000     6.484     0.000     0.000    18.586     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    41.8000    n     1.000   362.035   362.564   362.565   364.709   365.384   364.709   0.157    0.35     0.000     1.000     0.000  0.0000  0.1130  0.0000     0.000     6.379     0.000     0.000    17.882     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    41.9000    n     1.000   361.044   361.662   361.663   364.463   364.463   364.732   0.159    0.35     0.000     1.000     0.000  0.0000  0.1122  0.0000     0.000     6.288     0.000     0.000    17.183     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    42.0000    n     1.000   360.049   360.666   360.667   363.856   363.856   364.906   0.165    0.37     0.000     1.000     0.000  0.0000  0.1089  0.0000     0.000     6.064     0.000     0.000    15.928     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    42.0350    n     1.000   359.952   360.420   360.421   362.451   362.451   365.193   0.135    0.29     0.000     1.000     0.000  0.0000  0.1250  0.0000     0.000     7.392     0.000     0.000    25.275     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    42.1000    n     1.000   360.558   361.118   361.119   363.307   363.307   365.565   0.162    0.36     0.000     1.000     0.000  0.0000  0.1103  0.0000     0.000     6.173     0.000     0.000    16.601     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    42.2000    n     1.000   360.444   360.932   360.933   363.506   363.506   365.656   0.137    0.29     0.000     1.000     0.000  0.0000  0.1250  0.0000     0.000     7.305     0.000     0.000    24.291     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    42.3000    n     1.000   359.807   360.451   360.452   363.758   366.310   363.758   0.137    0.29     0.000     1.000     0.000  0.0000  0.1241  0.0000     0.000     7.302     0.000     0.000    23.909     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
